shp_s,shp_p,shp_i,x,y,objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,lon,lat
7840,0,11,433478.93969812675,385540.38430715335,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.4983514886285647,53.36567839155325
7840,0,12,433468.6677477368,385564.5592264362,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.4985032958168876,53.365896330371896
7840,0,13,433423.0522258301,385737.9808486174,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.499170496955491,53.36745796605331
7840,0,14,433327.0528569743,385708.9800747596,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.5006161949664063,53.36720334028536
7840,0,15,433236.05262202636,385741.97932840325,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.5019802556053268,53.36750565652716
7840,0,16,433237.7825098625,385749.62533652084,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.5019534582009944,53.36757427248243
7840,0,17,433412.7307114805,385850.84868733,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.4993137173231836,53.3684731021162
7840,0,18,433446.2405034842,385860.97895523,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.4988090616675416,53.36856204343422
7840,0,19,433520.3300209063,385810.69059885165,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.4977009511345802,53.36810536111294
7840,0,20,433643.4379113621,385798.17462019116,7841,E01008047,Sheffield 046C,Sheffield 046C,112158.838059,1681.0498618430163,-1.495852221209347,53.367985069214846
7841,0,0,433236.05262202636,385741.97932840325,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5019802556053268,53.36750565652716
7841,0,1,433327.0528569743,385708.9800747596,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5006161949664063,53.36720334028536
7841,0,2,433423.0522258301,385737.9808486174,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.499170496955491,53.36745796605331
7841,0,3,433468.6677477368,385564.5592264362,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4985032958168876,53.365896330371896
7841,0,4,433478.93969812675,385540.38430715335,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4983514886285647,53.36567839155325
7841,0,5,433508.6086189186,385534.78856126795,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.497906242246547,53.36562622201879
7841,0,6,433488.7016336674,385499.15537997714,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4982091471051577,53.36530719880206
7841,0,7,433527.1324906467,385446.8167050475,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4976371792163001,53.36483433718064
7841,0,8,433409.05277258286,385445.98066203535,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4994116264609503,53.36483427298308
7841,0,9,433408.24968738237,385363.4436164594,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4994323849145779,53.36409245850349
7841,0,10,433467.5525567631,385369.8881539503,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4985405888749719,53.36414664543033
7841,0,11,433554.2072224343,385222.798917075,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4972540232430591,53.36281909375953
7841,0,12,433601.94811954175,385223.5083641203,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4965365897618432,53.3628224484779
7841,0,13,433619.05205757933,385193.9825251434,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.496282712927546,53.36255597865954
7841,0,14,433571.6860574676,385080.0830687329,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4970064837534955,53.36153521958783
7841,0,15,433546.7030254139,384989.8858130725,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.497391404276796,53.36072608275606
7841,0,16,433378.7924615702,385092.7442040478,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.4999034999585854,53.36166119332956
7841,0,17,433328.26156147977,385090.0977135655,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5006630389177296,53.36164058293928
7841,0,18,433299.8565587254,385038.17440058896,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5010952915793616,53.36117566570755
7841,0,19,433253.0526896709,385052.97898795846,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5017969922867724,53.361311669211055
7841,0,20,433217.67873516725,384997.85466145625,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5023342755806348,53.36081841261
7841,0,21,433170.53893849533,385046.762328131,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5030374573787764,53.361260957785376
7841,0,22,433205.4069182157,385122.464668745,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5025056260134528,53.361939210059006
7841,0,23,433115.7512678531,385188.0970231858,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5038459232408758,53.36253473603444
7841,0,24,433138.6031217909,385120.8881413836,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5035095699139054,53.36192921700296
7841,0,25,433110.6981662177,385084.133887688,7842,E01008048,Sheffield 046D,Sheffield 046D,274984.504924,3710.0252066387766,-1.5039326984224,53.3616006019384
