shp_s,shp_p,shp_i,x,y,objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths
7632,0,50,434665.20525100356,383265.93642392935,7633,E01007831,Sheffield 059C,Sheffield 059C,307751.2933135,4401.514768346622
7632,0,51,434712.6171563514,383256.0009360895,7633,E01007831,Sheffield 059C,Sheffield 059C,307751.2933135,4401.514768346622
7633,0,0,435193.2781473332,383323.3695837243,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,1,435267.8440511336,383122.3049642437,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,2,435302.9439784468,383123.2683144564,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,3,435308.8799727973,383100.36944525945,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,4,435281.9360334441,383082.8142289157,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,5,435290.6660709755,382889.86792754853,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,6,435183.74929913634,382861.9819523845,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,7,435150.3403717926,382848.2326642187,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,8,435158.513379614,382759.2230543441,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,9,435120.6904544363,382770.41063333186,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,10,435058.0476005386,382708.89920880843,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,11,435006.1497078169,382707.3516872344,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,12,435001.7217241335,382681.446729214,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,13,434791.2731550664,382688.5795659286,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,14,434803.0051116575,382758.25546052656,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,15,434867.7229617969,382818.93091724726,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,16,434863.17194995214,382895.97161984653,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,17,434844.76298443344,382908.3283950154,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,18,434875.39090628084,382960.7665328438,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,19,434850.0499540169,382976.00122944516,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,20,434905.8978311414,383003.5347014492,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,21,434867.323901315,383035.46121116466,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,22,434843.4859232277,383129.8376668284,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,23,435005.643558015,383239.4079517379,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,24,434981.72659638006,383277.5815883437,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,25,434979.19459901063,383286.6435338263,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,26,435036.73850478005,383201.58438596764,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,27,435139.5352793144,383249.19927327795,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7633,0,28,435193.2781473332,383323.3695837243,7634,E01007832,Sheffield 059D,Sheffield 059D,200169.3707745,2266.9655559720277
7634,0,0,435914.54045865213,382519.1055433359,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,1,435982.8706190484,382288.01390836027,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,2,435848.9610761199,382181.9172918189,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,3,435847.368025642,382127.82547935157,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,4,435915.45928491314,382136.5139590565,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,5,435903.3500199126,382048.3241930172,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,6,435884.80464557844,381959.9803542043,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,7,435873.555423839,381902.20143703243,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,8,435577.05005488946,381832.4153955389,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,9,435592.46433842106,381692.2739018695,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,10,435452.86213253916,381486.51223101537,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,11,435489.4550692596,381443.51272745564,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,12,435433.1151993056,381395.2802799201,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,13,435380.55031886796,381356.5118474534,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,14,435351.1623619568,381417.77537273994,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,15,435317.5494130502,381481.6048451437,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,16,435268.9125205326,381456.3494142695,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,17,435165.8147475413,381405.58849696006,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,18,435096.6448971469,381380.82085703284,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,19,435042.5799650578,381532.271848313,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,20,435000.1440169235,381656.69403390767,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,21,434951.5041188762,381650.00654589257,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,22,434798.9194320118,381651.8989455633,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,23,434684.23867558053,381623.90983539954,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,24,434641.48875753814,381644.2443239806,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,25,434630.29376438406,381700.7190261131,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,26,434693.94462254393,381739.9495691694,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,27,434644.96570329583,381809.5768323653,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,28,434647.05068330886,381865.00267750147,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,29,434694.2455831709,381876.6121396872,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,30,434698.3865564997,381941.0029798761,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,31,434615.98370150424,382025.7868381622,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,32,434529.52387447737,382040.9628748261,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,33,434583.1637639547,382042.8344375598,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,34,434499.97788367834,382222.10601411416,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,35,434600.9006969198,382150.61629254365,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,36,434679.0505324763,382165.0020698583,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,37,434662.0505520631,382219.00172209326,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,38,434702.05046174716,382248.0020497108,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
7634,0,39,434684.33844889357,382422.79231471877,7635,E01007833,Sheffield 064C,Sheffield 064C,1168999.2888175,5951.124372200285
